"build","bad"
"11","81"
"12","61"
"13","61"
"14","60"
"15","60"
"16","37"
"17","37"
"18","38"
"19","38"
"20","38"
"21","37"
"22","37"
"23","37"
"24","37"
"25","37"
"26","37"
"27","39"
"28","39"
"29","37"
"30","63"
"31","63"
"32","63"
"33","100"
"34","100"
"35","59"
"36","61"
"37","56"
"38","37"
"39","61"
"40","37"
"41","37"
"42","38"
"43","37"
"44","37"
"45","38"
"46","38"
"47","38"
"48","37"
"49","37"
"50","37"
"51","38"
"52","38"
"53","38"
"54","38"
"55","112"
"56","112"
"57","38"
"58","38"
"59","38"
"60","38"
"61","37"
"62","40"
"63","40"
"64","38"
"65","39"
"66","39"
"67","39"
"68","39"
"69","39"
"70","39"
"71","39"
"72","40"
"73","40"
"74","40"
"75","40"
"76","40"
"77","40"
"78","40"
"79","40"
"80","38"
"81","38"
"82","38"
"83","38"
"84","38"
"85","38"
"86","38"
"87","38"
"88","38"
"89","38"
"90","38"
"91","37"
"92","38"
"93","1175"
"94","1119"
"95","38"
"96","38"
"97","38"
"98","38"
"99","485"
"100","41"
"101","41"
"102","41"
"103","38"
"104","37"
"105","37"
"106","37"
"107","34"
"108","10"
"109","10"
"110","10"
"111","10"
"112","10"
"113","10"
"114","10"
"115","10"
"116","10"
"117","10"
"118","10"
"119","10"
"120","10"
"121","10"
"122","10"
"123","10"
"124","10"
"125","10"
"126","10"
"127","10"
"128","10"
"129","10"
"130","10"
"131","10"
"132","10"
"133","10"
"134","10"
"135","10"
"136","10"
"137","10"
"138","10"
"139","10"
"140","26"
"141","219"
"142","40"
"143","26"
"144","10"
"145","10"
"146","45"
"147","26"
"148","26"
"149","85"
"150","37"
"151","37"
"152","37"
"153","37"
"154","37"
"155","36"
"156","36"
"157","36"
"158","23"
"159","23"
"160","23"
"161","35"
"162","35"
"163","35"
"164","35"
"165","35"
"166","35"
"167","35"
"168","35"
"169","77"
"170","77"
"171","77"
"172","86"
"173","100"
"174","100"
"175","86"
"176","86"
"177","86"
"178","88"
"179","88"
"180","88"
"181","112"
"182","88"
"183","88"
"184","96"
"185","88"
"187","87"
"188","87"
"189","87"
"190","87"
"191","87"
"192","74"
"193","103"
"194","103"
"195","103"
"196","104"
"197","104"
"198","104"
"199","104"
"200","104"
"201","104"
"202","104"
"203","104"
"204","104"
"205","104"
"206","104"
"207","104"
"208","104"
"209","104"
"210","104"
"211","104"
"212","104"
"213","104"
"214","104"
"215","104"
"216","104"
"217","104"
"218","104"
"219","88"
"220","104"
"221","88"
"222","104"
"223","104"
"224","88"
"225","87"
